soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Sandy,5.4,0.15,0.86,12.6,142,23,0.63,0.9,46.76,6.776,26.7
Sandy,5.2,0.14,0.82,8.7,124,10,0.55,0.24,44.41,6.206,25.97
Sandy,5.3,0.14,0.89,9.2,119,6,0.37,0.3,41.08,4.846,23.17
Sandy,5.3,0.13,0.86,9.7,128,4,0.47,0.18,41.62,5.548,26.17
Sandy,5.4,0.12,1,11.2,137,4,0.54,0.12,42.97,5.461,24.82
Sandy,5.4,0.13,0.87,8.7,138,14,0.47,0.24,41.53,5.154,20.83
Sandy,5.3,0.13,0.92,9.2,140,34,0.51,0.18,42.88,5.285,27.36
Sandy,5.2,0.13,0.94,10.2,154,12,0.57,0.12,47.02,5.68,25.78
Sandy,5.3,0.12,0.85,9.7,108,41,0.48,0.9,46.22,5.373,25.28
Sandy,5.3,0.12,0.74,10.2,152,26,0.47,0.18,43.6,5.768,24.55
Sandy,5.3,0.11,0.63,12.6,127,47,0.53,0.54,42.25,5.724,23.83
Sandy,5.3,0.13,0.84,11.7,142,7,0.46,0.12,44.14,6.206,27.69
Sandy,5.4,0.15,0.82,9.7,137,21,0.52,0.12,41.98,5.724,25.71
Sandy,5.4,0.11,0.74,7.8,84,10,0.65,0.12,42.97,5.943,14.62
Sandy,5.3,0.12,0.87,6.3,122,9,0.42,0.24,45.14,6.382,26.24
Sandy,5.4,0.12,0.84,5.8,125,10,0.61,0.12,43.33,6.031,26.5
Sandy,5.3,0.13,0.65,5.3,104,10,0.55,0.66,43.24,5.68,26.04
Sandy,5.4,0.13,0.7,6.8,174,9,0.5,0.12,45.5,5.855,24.79
Sandy,5.3,0.13,0.81,5.3,109,16,0.53,0.18,47.57,6.25,19.67
Sandy,5.4,0.14,0.74,9.2,138,11,0.48,0.36,46.67,5.943,23.4
Sandy,5.8,0.15,0.52,25.2,95,8,0.89,0.24,57.03,0.385,2.366
Sandy,6,0.15,0.54,25.7,167,34,0.9,0.54,55.77,1.269,2.331
Sandy,6.2,0.18,0.53,28.2,112,29,0.75,0.42,52.7,1.308,2.432
Sandy,6.2,0.18,0.49,27.2,94,20,0.64,0.36,52.16,1.308,2.365
Sandy,6.2,0.18,0.49,18.5,116,44,0.62,0.48,53.87,1.5,2.027
Sandy,6.2,0.2,0.47,28.2,121,42,0.79,0.3,55.77,1.577,1.717
Sandy,6.3,0.2,0.49,21.4,125,32,0.73,0.18,54.93,1.038,2.146
Sandy,6.3,0.19,0.48,26.2,131,26,1.35,0.3,55.59,1.192,2.027
Sandy,6.2,0.18,0.47,25.7,149,31,0.9,0.48,57.39,1.077,2.331
Sandy,6.3,0.16,0.51,35,155,33,0.87,0.54,55.05,1.385,2.804
Sandy,6.1,0.2,1.18,39.3,158,34,1.25,0.48,77.66,2.308,8.953
Sandy,6,0.22,1.21,43.7,158,32,1.56,0.72,79.82,4.654,14.9
Sandy,6,0.26,1.07,49,157,21,1.38,0.48,78.29,2.462,24.49
Sandy,6,0.21,0.95,47.6,148,26,1.19,0.66,78.83,2.462,20.78
Sandy,6,0.25,1.18,45.2,158,36,1.27,0.48,78.47,2.5,20.14
Sandy,6,0.26,1.34,33,148,31,1.29,0.6,78.29,3.038,23.11
Sandy,6,0.25,1.37,41.8,120,26,1.36,0.66,78.29,3.615,22.26
Sandy,6,0.25,1.26,50.5,140,33,1.13,0.84,61.98,4.731,23.41
Sandy,6,0.25,1.21,50,148,26,1.5,1.5,80,2.769,21.59
Sandy,5.8,0.22,1.24,50,121,21,1.24,0.72,77.48,3.385,24.02
Sandy,5.3,0.08,0.54,8.7,221,7,0.64,0.24,42.04,1.63,5.261
Sandy,5.6,0.09,0.56,8.7,194,8,0.67,0.84,40.58,1.906,12.25
Sandy,5.5,0.07,0.44,20.9,193,5,0.48,1.02,37.01,1.823,6.15
Sandy,5.1,0.21,0.56,6.8,206,6,0.49,0.72,46.13,1.796,9.31
Sandy,5.3,0.12,0.52,3.4,194,16,0.73,0.3,45.5,2.21,16.03
Silt,5.5,0.1,0.54,7.3,101,5,0.43,0.78,41.02,1.381,4.03
Silt,4.9,0.23,0.58,15.1,205,12,0.54,0.72,49.49,1.796,11.03
Silt,5.8,0.08,0.54,11.2,98,9,0.26,0.3,15.47,0.414,6.181
Sandy,5.6,0.12,0.53,4.9,218,12,0.49,0.24,45.84,1.817,13.36
Sandy,5.7,0.09,0.52,12.1,96,11,0.29,0.24,21.24,0.801,8.482
